,0
Nom,Premier open 2022
Lieu,Maisons-Laffitte
Date de début,2022-11-10
Date de fin,2022-11-11
Cadence,Bullet
Description,Tournoi de test
Joueurs,"[10, 8, 3, 9, 4, 6, 7, 5]"
Nombre de tours,4
Tours,"[{'round_number': 1, 'round_name': 'Round 1', 'matchs_number': 4, 'matchs': None, 'start_datetime': '', 'end_datetime': '', 'closed': False}, {'round_number': 2, 'round_name': 'Round 2', 'matchs_number': 4, 'matchs': None, 'start_datetime': '', 'end_datetime': '', 'closed': False}, {'round_number': 3, 'round_name': 'Round 3', 'matchs_number': 4, 'matchs': None, 'start_datetime': '', 'end_datetime': '', 'closed': False}, {'round_number': 4, 'round_name': 'Round 4', 'matchs_number': 4, 'matchs': None, 'start_datetime': '', 'end_datetime': '', 'closed': False}]"
Archivé,True
